filename, language, JSON, Ignore, Properties, YAML, JavaScript, Ignore File for Slug compiler, Markdown, comment, blank, total
.editorconfig, Properties, 0, 0, 9, 0, 0, 0, 0, 1, 4, 14
.eslintignore, Ignore, 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
.markdownlint.yml, YAML, 0, 0, 0, 1, 0, 0, 0, 1, 2, 4
.prettierrc, JSON, 15, 0, 0, 0, 0, 0, 0, 0, 1, 16
.travis.yml, YAML, 0, 0, 0, 3, 0, 0, 0, 0, 3, 6
Readme.md, Markdown, 0, 0, 0, 0, 0, 0, 181, 2, 61, 244
index.js, JavaScript, 0, 0, 0, 0, 18, 0, 0, 7, 8, 33
package.json, JSON, 41, 0, 0, 0, 0, 0, 0, 0, 1, 42
src\config\appsscript.config.js, JavaScript, 0, 0, 0, 0, 5, 0, 0, 13, 2, 20
src\config\clasp.config.js, JavaScript, 0, 0, 0, 0, 8, 0, 0, 0, 2, 10
src\config\default-prompt-values.json, JSON, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
src\config\eslintrc.config.js, JavaScript, 0, 0, 0, 0, 37, 0, 0, 22, 18, 77
src\config\eslintrc.options.json, JSON, 84, 0, 0, 0, 0, 0, 0, 0, 3, 87
src\config\package.config.js, JavaScript, 0, 0, 0, 0, 104, 0, 0, 5, 21, 130
src\config\static\.editorconfig, Properties, 0, 0, 9, 0, 0, 0, 0, 1, 4, 14
src\config\static\.gitignore, Ignore File for Slug compiler, 0, 0, 0, 0, 0, 99, 0, 0, 38, 137
src\config\static\readme.md, Markdown, 0, 0, 0, 0, 0, 0, 5, 0, 5, 10
src\lib\check-clasp.js, JavaScript, 0, 0, 0, 0, 4, 0, 0, 1, 1, 6
src\lib\classes\Config.js, JavaScript, 0, 0, 0, 0, 92, 0, 0, 19, 22, 133
src\lib\classes\ESLintrc.js, JavaScript, 0, 0, 0, 0, 87, 0, 0, 27, 19, 133
src\lib\modules\get-rc-file.js, JavaScript, 0, 0, 0, 0, 103, 0, 0, 27, 25, 155
src\lib\modules\shema-validate.js, JavaScript, 0, 0, 0, 0, 7, 0, 0, 8, 4, 19
src\lib\prompt-script.js, JavaScript, 0, 0, 0, 0, 46, 0, 0, 9, 3, 58
src\lib\prompt.js, JavaScript, 0, 0, 0, 0, 15, 0, 0, 6, 7, 28
src\schemas\appsscript.schema.json, JSON, 279, 0, 0, 0, 0, 0, 0, 0, 2, 281
src\schemas\clasp.schema.json, JSON, 25, 0, 0, 0, 0, 0, 0, 0, 1, 26
src\schemas\eslintrc.schema.json, JSON, 266, 0, 0, 0, 0, 0, 0, 345, 2, 613
src\schemas\index.js, JavaScript, 0, 0, 0, 0, 34, 0, 0, 23, 13, 70
src\schemas\markdownlint.schema.json, JSON, 1442, 0, 0, 0, 0, 0, 0, 0, 1, 1443
src\schemas\package.schema.json, JSON, 471, 0, 0, 0, 0, 0, 0, 0, 3, 474
src\schemas\prettier.schema.json, JSON, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
test\Config.methods.spec.js, JavaScript, 0, 0, 0, 0, 7, 0, 0, 0, 4, 11
test\Config.spec.js, JavaScript, 0, 0, 0, 0, 35, 0, 0, 5, 18, 58
test\index.spec.js, JavaScript, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
test\resources\.eslintrc.test.js, JavaScript, 0, 0, 0, 0, 72, 0, 0, 4, 18, 94
Total, -, 2628, 2, 18, 4, 678, 99, 186, 526, 320, 4461
